,descricao_detalhada,marca,departamento_macro,departamento,categoria_familia,tipo_produto,subtipo_funcao,segmento_mercado,publico_ou_tom,grupo_navegacao,apresentacao_publico
69,HAIR SPRAY AMEND ULTRA FORTE VALORIZE 400ML,AMEND,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,MODELADOR CAPILAR,AEROSOL,PREMIUM,FEMININO,,
70,MOUSSE TRESEMME EXTRA FIRME 300ML,TRESEMME,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,MODELADOR CAPILAR,MOUSSE,INTERMEDIARIO,FEMININO,,
71,FIXADOR CAPILAR CHARMING HAIR EXTRA FORTE 72H SPRAY 50ML,CHARMING,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,MODELADOR CAPILAR,SPRAY,PREMIUM,FEMININO,,
72,LOLA UMIDIFICADOR DE CACHOS  QUE SABIA DEMAIS 250G,LOLA,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,MODELADOR CAPILAR,CREME,PREMIUM,FEMININO,,
73,GEL BIO EXTRATUS HOMEM 150G,BIO EXTRATUS,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,MODELADOR CAPILAR,MOUSSE,PREMIUM,FEMININO,,
74,FIXADOR CAPILAR CHARMING HAIR SPRAY FORTE COM 200ML,CHARMING,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,MODELADOR CAPILAR,SPRAY,PREMIUM,FEMININO,,
75,GEL GLITTER HELLO KITTY CORPO E CAB 180G,BETULLA,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,MODELADOR CAPILAR,MOUSSE,PREMIUM,FEMININO,,
76,GEL FIXADOR MAGIC STILL LIFE BLUE 240G,STILL LIFE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,MODELADOR CAPILAR,MOUSSE,PREMIUM,FEMININO,,
77,FIXADOR CAPILAR NY LOOKS AZUL GEL 240G,NY LOOKS,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,MODELADOR CAPILAR,GEL,BASICO,FEMININO,,
78,FINALIZADOR NATUHAIR DESMAIA TOTAL 120ML,NATUHAIR,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,MODELADOR CAPILAR,MOUSSE,PREMIUM,FEMININO,,
79,POMADA CAPILAR CHARMING FIXAÇÃO EXTRA FORTE 50G,CHARMING,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,MODELADOR CAPILAR,POMADA,PREMIUM,FEMININO,,
80,POMADA MODELADORA GO 50GR,GO,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,MODELADOR CAPILAR,MOUSSE,PREMIUM,FEMININO,,
81,FIXADOR CAPILAR VITA CAPILI AZUL GEL 240G,MURIEL,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,MODELADOR CAPILAR,MOUSSE,PREMIUM,FEMININO,,
82,FIXADOR CAPILAR BOZZANO COLA MODELADORA 150G,BOZZANO,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,MODELADOR CAPILAR,GEL,BASICO,FEMININO,,
83,POMADA CAPILAR MODELADORA CHARMING 50G,CHARMING,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,MODELADOR CAPILAR,POMADA,PREMIUM,FEMININO,,
84,GELATINA SALON LINE TÔ DE CACHOS SUPER DEFINIÇÃO 550G,SALON LINE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,MODELADOR CAPILAR,GEL,BASICO,FEMININO,,
85,POMADA CAPILAR AMORÁVEL AQUA 60G,AMORAVEL,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,MODELADOR CAPILAR,POMADA,BASICO,FEMININO,,
86,CRM CAP DE BAN FOREV VERN QUER HID 300ML,FOREVER LISS,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,MODELADOR CAPILAR,MOUSSE,PREMIUM,FEMININO,,
87,FIXADOR CAPILAR VITA CAPILI CRYSTAL GEL 240G,VITA CAPILI,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,MODELADOR CAPILAR,MOUSSE,PREMIUM,FEMININO,,
88,FIXADOR CAPILAR AMORÁVEL CRISTAL 250G,AMORAVEL,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,MODELADOR CAPILAR,GEL,BASICO,FEMININO,,
89,BRYLCREEM NORMAL 80G,BRYLCREEM,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,MODELADOR CAPILAR,MOUSSE,PREMIUM,FEMININO,,
90,GEL FIXADOR FIXED AZUL 250G,FIXED,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,MODELADOR CAPILAR,MOUSSE,PREMIUM,FEMININO,,
91,HAIR SPR CHARMING ARGAN 50ML,CHARMING,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,MODELADOR CAPILAR,MOUSSE,PREMIUM,FEMININO,,
92,FIXADOR CAPILAR WELLAPON GEL 150G,WELLAPON,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,MODELADOR CAPILAR,GEL,BASICO,FEMININO,,
93,PASTA MODEL POM BED HEAD CRM PURE 83G,BED HEAD,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,MODELADOR CAPILAR,MOUSSE,PREMIUM,FEMININO,,
94,FIXADOR CAPILAR KARINA SEM PERFUME SPRAY 250ML,KARINA,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,MODELADOR CAPILAR,SPRAY,PREMIUM,FEMININO,,
95,MOUSSE EMY PROTEÇÃO TÉRMICA AEROSOL 170ML,EMY,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,MODELADOR CAPILAR,MOUSSE,BASICO,FEMININO,,
96,POMADA CAPILAR AMORAVEL ALOEVERA PRO 60G,AMORAVEL,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,MODELADOR CAPILAR,POMADA,BASICO,FEMININO,,
97,BRILHANTINA TABU 52G,TABU,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,MODELADOR CAPILAR,MOUSSE,PREMIUM,FEMININO,,
98,GEL FIXADOR MAGIC STILL LIFE FRESH 240G,STILL LIFE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,MODELADOR CAPILAR,MOUSSE,PREMIUM,FEMININO,,
99,FIXADOR CAPILAR ASPA HAIR SPRAY AEROSOL 250ML,ASPA,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,MODELADOR CAPILAR,SPRAY,BASICO,FEMININO,,
100,MÁSCARA VICHY DERCOS NUTRI-REPARADORA 200ML,VICHY,NAO MEDICAMENTO,DERMO,CUIDADO CAPILAR,TRATAMENTO CAPILAR,REPARADOR,MASCARA,NAO DEFINIDO,,
101,CREME DE PENTEAR FOLIFORT MASK 140G,FOLIFORT,NAO MEDICAMENTO,DERMO,CUIDADO CAPILAR,TRATAMENTO CAPILAR,HIDRATACAO,TODO TIPO DE PELE,CREME,,
102,PILEXIL LOÇÃO ANTIQUEDA SPRAY COM 120ML,PILEXIL,NAO MEDICAMENTO,DERMO,CUIDADO CAPILAR,TRATAMENTO CAPILAR,ANTIQUEDA,TODO TIPO DE PELE,LOCAO,,
103,LOÇÃO ANTIQUEDA ISDIN HAIRCARE 100ML,ISDIN,NAO MEDICAMENTO,DERMO,CUIDADO CAPILAR,TRATAMENTO CAPILAR,ANTIQUEDA,TODO TIPO DE PELE,LOCAO,,
104,SHAMPOO VICHY DERCOS COLLAGEN REPAIR 17 150G,DERCOS,NAO MEDICAMENTO,DERMO,CUIDADO CAPILAR,TRATAMENTO CAPILAR,REPARADOR,TODO TIPO DE PELE,CREME,,
105,DERCOS ENERGY+ SÉRUM CAPILAR ANTIQUEDA 50ML,DERCOS,NAO MEDICAMENTO,DERMO,CUIDADO CAPILAR,TRATAMENTO CAPILAR,ANTIQUEDA,TODO TIPO DE PELE,SERUM,,
106,DERCOS REEQUILIBRANTE VICHY SUPER AMPOLA 40ML,DERCOS,NAO MEDICAMENTO,DERMO,CUIDADO CAPILAR,TRATAMENTO CAPILAR,HIDRATACAO,TODO TIPO DE PELE,AMPOLA,,
107,PILEXIL LOÇÃO CAPILAR 125ML,PILEXIL,NAO MEDICAMENTO,DERMO,CUIDADO CAPILAR,TRATAMENTO CAPILAR,ANTIQUEDA,LOCAO,NAO DEFINIDO,,
108,DERCOS AMINACFIT COMBLEUR LOÇÃO CAPILAR 125MG,VICHY,NAO MEDICAMENTO,DERMO,CUIDADO CAPILAR,TRATAMENTO CAPILAR,ANTIQUEDA,LOCAO,NAO DEFINIDO,,
109,DERCOS SENSI SCALP VICHY SERUM 50ML,DERCOS,NAO MEDICAMENTO,DERMO,CUIDADO CAPILAR,TRATAMENTO CAPILAR,CALMANTE,TODO TIPO DE PELE,SERUM,,
110,ALPHA RT MEN ANTIQUEDA 45ML,MED STAR,NAO MEDICAMENTO,DERMO,CUIDADO CAPILAR,TRATAMENTO CAPILAR,ANTIQUEDA,LOCAO,NAO DEFINIDO,,
111,IMECAP HAIR MAX LOÇÃO ANTIQUEDA 100ML - REDUZA A QUEDA DOS CABELOS COM NOSSA LOÇÃO,IMECAP,NAO MEDICAMENTO,DERMO,CUIDADO CAPILAR,TRATAMENTO CAPILAR,ANTIQUEDA,TODO TIPO DE PELE,LOCAO,,
112,NEOSIL LOÇÃO ANTIQUEDA 50ML,NEOSIL,NAO MEDICAMENTO,DERMO,CUIDADO CAPILAR,TRATAMENTO CAPILAR,ANTIQUEDA,TODO TIPO DE PELE,LOCAO,,
113,KERIUM MASCARA CAPILAR 200ML,KERIUM,NAO MEDICAMENTO,DERMO,CUIDADO CAPILAR,TRATAMENTO CAPILAR,REPARADOR,TODO TIPO DE PELE,CREME,,
114,KERIUM ANTI-QUEDA LOÇÃO CAPILAR 125ML,LA ROCHE POSAY,NAO MEDICAMENTO,DERMO,CUIDADO CAPILAR,TRATAMENTO CAPILAR,ANTIQUEDA,LOCAO,NAO DEFINIDO,,
115,MÁSCARA REPARADORA MANTECORP SKINCARE PIELUS PRO-HYALU 200ML,MANTECORP,NAO MEDICAMENTO,DERMO,CUIDADO CAPILAR,TRATAMENTO CAPILAR,REPARADOR,TODO TIPO DE PELE,CREME,,
116,CREASTIM LOÇÃO CAPILAR ANTIQUEDA 30ML,DUCRAY,NAO MEDICAMENTO,DERMO,CUIDADO CAPILAR,TRATAMENTO CAPILAR,ANTIQUEDA,LOCAO,NAO DEFINIDO,,
117,PILEXIL LOÇÃO 120ML,MEGALABS,NAO MEDICAMENTO,DERMO,CUIDADO CAPILAR,TRATAMENTO CAPILAR,ANTIQUEDA,LOCAO,NAO DEFINIDO,,
118,LOÇAO PIELUS ANTIQUEDA 120ML,PIELUS,NAO MEDICAMENTO,DERMO,CUIDADO CAPILAR,TRATAMENTO CAPILAR,ANTIQUEDA,TODO TIPO DE PELE,LOCAO,,
119,PANTO HAIR LOÇÃO CAPILAR 95ML,BIOLAB,NAO MEDICAMENTO,DERMO,CUIDADO CAPILAR,TRATAMENTO CAPILAR,ANTIQUEDA,LOCAO,NAO DEFINIDO,,
120,DERCOS AMINEXIL ENERGY LOÇÃO CAPILAR 125ML,VICHY,NAO MEDICAMENTO,DERMO,CUIDADO CAPILAR,TRATAMENTO CAPILAR,ANTIQUEDA,LOCAO,NAO DEFINIDO,,
121,MELORA FOLCARE DS LOÇÃO ANTICASPA 50ML,MELORA,NAO MEDICAMENTO,DERMO,CUIDADO CAPILAR,TRATAMENTO CAPILAR,ANTICASPA,TODO TIPO DE PELE,LOCAO,,
122,TELOSS 5 LOÇÃO CAPILAR 120ML,THERASKIN,NAO MEDICAMENTO,DERMO,CUIDADO CAPILAR,TRATAMENTO CAPILAR,ANTIQUEDA,LOCAO,NAO DEFINIDO,,
123,SÉRUM CAPILAR 3% BAICAPIL + 3% CAFEÍNA PRINCIPIA SC-01 50ML,PRINCIPIA,NAO MEDICAMENTO,DERMO,CUIDADO CAPILAR,TRATAMENTO CAPILAR,ANTIQUEDA,TODO TIPO DE PELE,SERUM,,
124,DOCTAR CREME 100ML,DOCTAR,NAO MEDICAMENTO,DERMO,CUIDADO CAPILAR,TRATAMENTO CAPILAR,ANTICASPA,TODO TIPO DE PELE,CREME,,
125,PRINCIPIA SÉRUM CAPILAR SC-01 60ML,PRINCIPIA,NAO MEDICAMENTO,DERMO,CUIDADO CAPILAR,TRATAMENTO CAPILAR,ANTIQUEDA,TODO TIPO DE PELE,SERUM,,
