tipo_produto,marca,linha,publico_alvo,apresentacao,volume_peso,curvatura_indicada,tipo_fio_condicao,beneficio_principal,ingredientes_destaque,tecnica_liberada,tipo_coloracao,tom_cor,numero_cor,com_amonia,textura_formato,nivel_fixacao,efeito_visual,protecao_termica,tipo_acessorio,material,funcao_uso,input_original,familia_origem,atributos_tratamento,atributos_coloracao,atributos_finalizacao_modelagem,atributos_acessorios,quantidade_embalagem,cor_visual,nome_cor,acabamento_efeito,funcao_tratamento,composicao_especifica,finalidade_uso,tipo_ponta,esterilizavel,gramatura_textura,formato,metodo_fixacao,atributos_instrumentos_acessorios,atributos_unhas_posticas,soup
Coloração Permanente,OLIA,Preto Profundo,Adulto,Frasco,,,,,,,Permanente,Preto Profundo,1.0,,,,,,,,,TINTURA OLIA PRETO PROFUNDO 1.0,CUIDADO CAPILAR,,,,,,,,,,,,,,,,,,,coloração permanente olia preto profundo      preto profundo
Gel,NatuHair,Queratina,,Pote,120g,,,Reconstrução capilar,Queratina,,,,,,Gel,Média,Molhado,,,,,GEL CAP NATUHAIR QUERATINA GEL 120G,CUIDADO CAPILAR,,,,,,,,,,,,,,,,,,,gel natuhair queratina     reconstrução capilar  120g
Shampoo,Seda,Escova Protect/Pos Alisamento Químico,Adulto,Frasco,350ml,Liso,Quimicamente Tratado,Proteção pós-alisamento químico,,,,,,,,,,,,,,SHAMPOO SEDA ESCOVA PROTECT/ POS ALISAMENTO QUIMICO 350ML,CUIDADO CAPILAR,,,,,,,,,,,,,,,,,,,shampoo seda escova protect/pos alisamento químico    liso proteção pós-alisamento químico  350ml
Creme Pentear,NIELY GOLD,Cachos do Seu Jeito,,Pote,250g,Cacheado,,Nutrição e hidratação com óleo de linhaça e manteiga de karité,"Óleo de Linhaça, Manteiga de Karité",,,,,,Creme,,Brilho,,,,,CREME PENTEAR NIELY GOLD CACHOS DO SEU JEITO OLEO DE LINHAÇA + MANTEIGA DE KARITÉ 250G,CUIDADO CAPILAR,,,,,,,,,,,,,,,,,,,creme pentear niely gold cachos do seu jeito    cacheado nutrição e hidratação com óleo de linhaça e manteiga de karité  250g
Shampoo,Biorene,Hidraforte,,Frasco,250ml,Todos os tipos,,Hidratação,Hidratantes,,,,,,,,,,,,,SHAMPOO BIORENE HIDRAFORTE 250ML,CUIDADO CAPILAR,,,,,,,,,,,,,,,,,,,shampoo biorene hidraforte    todos os tipos hidratação  250ml
Creme de Pentear,Seda,Boom Transição,,Frasco,295ml,Todos os tipos,Danificado,Reconstrução,"Queratina, Proteína de Trigo",,,,,,Creme,Média,Brilho,Sim,,,,CREME DE PENTEAR SEDA BOOM TRANSIÇÃO 295ML,CUIDADO CAPILAR,,,,,,,,,,,,,,,,,,,creme de pentear seda boom transição    todos os tipos reconstrução  295ml
Tinta,Imédia,Excellence,Adulto,Frasco,,,,Coloração Permanente,,,Permanente,Louro Claríssimo Acinzentado,10.1,,,,,,,,,TINTURA IMÉDIA EXCELENCE LOURO CLARÍSSIMO ACINZENTADO 10.1,CUIDADO CAPILAR,,,,,,,,,,,,,,,,,,,tinta imédia excellence     coloração permanente louro claríssimo acinzentado
Bálsamo,Biogelatine,,,Frasco,200ml,,,Hidratação,Silicone,,,,,,,,,,,,,BALSAMO HID BIOGELATTINNE 200ML,CUIDADO CAPILAR,,,,,,,,,,,,,,,,,,,bálsamo biogelatine      hidratação  200ml
Shampoo,Kerium,Anticaspa DS Intensivo,,Frasco,125ml,,,Anticaspa,['DS'],,,,,,,,,,,,,SHAMPOO KERIUM ANTICASPA DS INTENSIVO 125ML+KERIUM MASCARA CAPILAR 200ML GANHE 50% DE DESCONTO NO KERIUM DS,CUIDADO CAPILAR,,,,,,,,,,,,,,,,,,,shampoo kerium anticaspa ds intensivo     anticaspa  125ml
Creme Alisante,Mel & Amêndoas,Alisante,Adulto,Kit,,Todos os tipos,"Encaracolado, Frizzado","Alisamento, Redução de Frizz","Mel, Amêndoas",,,,,,Creme,,,,,,,CRM ALISANTE MEL&AMENDOAS KIT,CUIDADO CAPILAR,,,,,,,,,,,,,,,,,,,"creme alisante mel & amêndoas alisante    todos os tipos alisamento, redução de frizz"
Grampo,Manu,,Adulto,Prenedor,,,,,,,,,,,,,,,Grampo,,Prender,GRAMP DE CAB GRAMP MANU M169 REDON,CUIDADO CAPILAR,,,,,,,,,,,,,,,,,,,grampo manu
Máscara,Forever Liss,Desmaia Cabelo,,Pote,350g,,,Desmaia Cabelo,Silicone,,,,,,,,,,,,,MASCARA FOREVER LISS DESMAIA CABELO 350GR,CUIDADO CAPILAR,,,,,,,,,,,,,,,,,,,máscara forever liss desmaia cabelo     desmaia cabelo  350g
Shampoo,Batiste,Original,,Frasco,200ml,Todos os tipos,Oleoso,Absorção de oleosidade,,,,,,,,,,,,,,SHAMPOO A SECO BATISTE ORIGINAL 200ML,CUIDADO CAPILAR,,,,,,,,,,,,,,,,,,,shampoo batiste original    todos os tipos absorção de oleosidade  200ml
Mousse,John Frieda,Touchably Full Volume,,Frasco,250ml,,,Volume,,,,,,,Mousse,Leve,,Não,,,,MOUSSE JOHN FRIEDA TOUCHABLY FULL VOLUME 250ML,CUIDADO CAPILAR,,,,,,,,,,,,,,,,,,,mousse john frieda touchably full volume     volume  250ml
Condicionador,Bozzano,Cachos,Cacheado,Frasco,200ml,Cacheado,Seco,Hidratação,Óleo de Coco,,,,,,Creme,,,,,,,CONDICIONADOR ÓLEO DE COCO 3X1 BOZZANO CACHOS FRASCO 200ML,CUIDADO CAPILAR,,,,,,,,,,,,,,,,,,,condicionador bozzano cachos    cacheado hidratação  200ml
Modelador Capilar,,,,Mousse,50g,,,Matte,,,,,,,Mousse,,Matte,,,,,GEL MATTE GO 50GR,CUIDADO CAPILAR,,,,,,,,,,,,,,,,,,,modelador capilar       matte  50g
Condicionador,SEDA,Hidratante Anti Nós,,Frasco,350ml,,,Hidratação,"['Anti Nós', 'Queratina']",,,,,,,,,,,,,COND SEDA HIDRAT ANTI NOS 350ML,CUIDADO CAPILAR,,,,,,,,,,,,,,,,,,,condicionador seda hidratante anti nós     hidratação  350ml
Creme de Tratamento,Beleza Natural,Cachos Intensos,,Pote,500g,Crespo,,Tratamento Intensivo,,,,,,,,,,,,,,CREME DE TRATAMENTO BELEZA NATURAL CACHOS INTENSOS 500G,CUIDADO CAPILAR,,,,,,,,,,,,,,,,,,,creme de tratamento beleza natural cachos intensos    crespo tratamento intensivo  500g
Escova,THE ORIGINAL,THICK & CURLY,,Escova,,,,,,,,,,,,,,,Escova,,Desembaraçar,THE ORIGINAL THICK & CURLY SALSA RED,CUIDADO CAPILAR,,,,,,,,,,,,,,,,,,,escova the original thick & curly
Máscara,Eudora,Siàge Nutri Acid Complex,,Pote,250g,Todos os tipos,Danificado,Hidratação,"Nutrição, Complexo de Ácidos",,,,,,,,,,,,,MÁSCARA CAPILAR CONCENTRADA EUDORA SIÀGE NUTRI ACID.COMPLEX 250G,CUIDADO CAPILAR,,,,,,,,,,,,,,,,,,,máscara eudora siàge nutri acid complex    todos os tipos hidratação  250g
Creme para Pentear,Dove,Texturas Reais Cacheados,Adulto,Frasco,355ml,Cacheado,,Hidratação,"['Nutrição', 'Hidratação']",,,,,,Creme,,,,,,,Creme para Pentear Dove Texturas Reais Cacheados Frasco 355ml,CUIDADO CAPILAR,,,,,,,,,,,,,,,,,,,creme para pentear dove texturas reais cacheados    cacheado hidratação  355ml
Finalizador,Complexo Tratta,Biofortificante,,Frasco,50ml,,,Fortalecimento,Silicone,,,,,,,,,,,,,COMPLEXO TRATTA BIOFORTIFICANTE 50ML,CUIDADO CAPILAR,,,,,,,,,,,,,,,,,,,finalizador complexo tratta biofortificante     fortalecimento  50ml
Creme de Tratamento,Tresemme,Queratina,Adulto,Pote,1kg,,Danificado,Reconstrução,Queratina,,,,,,,,,,,,,CREME DE TRATAMENTO TRESEMME QUERATINA 1KG,CUIDADO CAPILAR,,,,,,,,,,,,,,,,,,,creme de tratamento tresemme queratina     reconstrução  1kg
Tinta,IMÉDIA EXCELLENCE,Excellence,Adulto,Kit,,,,,,,Permanente,Louro Escuro,6,,,,,,,,,KIT COM 2  TINTURAS IMÉDIA EXCELLENCE LOURO ESCURO 6 COM 40% DE DESCONTO NA SEGUNDA UNIDADE,CUIDADO CAPILAR,,,,,,,,,,,,,,,,,,,tinta imédia excellence excellence      louro escuro
Shampoo,Aussie,Summer Crush,Adulto,Frasco,180ml,Todos os tipos,Todos os tipos,Limpeza suave,,,,,,,,,,,,,,SHAMPOO AUSSIE SUMMER CRUSH 180ML,CUIDADO CAPILAR,,,,,,,,,,,,,,,,,,,shampoo aussie summer crush    todos os tipos limpeza suave  180ml
Pente,Marco Boni,UD Colores,,Pente,,,,,,,,,,,,,,,Pente,,Desembaraçar,PENTE MARCO BONI UD COLORES,CUIDADO CAPILAR,,,,,,,,,,,,,,,,,,,pente marco boni ud colores
Escova,Marco Boni,Meia Lua,,Escova,,,,,,,,,,,,,,,Escova,,Desembaraçar,ESCOVA DE CABELO MARCO BONI MEIA LUA,CUIDADO CAPILAR,,,,,,,,,,,,,,,,,,,escova marco boni meia lua
Shampoo,Amend,Matizador Specialist Blonde,,Frasco,250ml,,Louro,Matizador,,Tradicional,,,,,,,,,,,,SHAMPOO AMEND MATIZADOR SPECIALIST BLONDE 250ML,CUIDADO CAPILAR,,,,,,,,,,,,,,,,,,,shampoo amend matizador specialist blonde     matizador  250ml
Creme de Pentear,Tresemme,Solar Repair,Adulto,Frasco,300ml,,,Proteção UV e Hidratação,"Hibisco, Óleo de Oliva",,,,,,Creme,,,Sim,,,,CREME DE PENTEAR TRESEMME SOLAR REPAIR COM HIBISCO OLEO DE OLIVA E FILTRO UV 300ML,CUIDADO CAPILAR,,,,,,,,,,,,,,,,,,,creme de pentear tresemme solar repair     proteção uv e hidratação  300ml
Creme de Tratamento,Pantene,Serum Reparador,,Frasco,151ml,,Danificado,Reparação,Sérum,,,,,,,,,,,,,CREME DE TRATAMENTO PANTENE SERUM REPARADOR 151ML,CUIDADO CAPILAR,,,,,,,,,,,,,,,,,,,creme de tratamento pantene serum reparador     reparação  151ml
Fixador Capilar,NY Looks,,,Gel,240g,,,Fixação de estilo,,,,,,,Gel,Forte,Brilho,,,,,FIXADOR CAPILAR NY LOOKS AZUL GEL 240G,CUIDADO CAPILAR,,,,,,,,,,,,,,,,,,,fixador capilar ny looks      fixação de estilo  240g
Finalizador,Magia de Unicórnio,Forever Liss,,Frasco,200ml,,,Finalização com silicone,Silicone,,,,,,Spray,,Brilho,,,,,MAGIA DE UNICORNIO FOREVER LISS 200ML,CUIDADO CAPILAR,,,,,,,,,,,,,,,,,,,finalizador magia de unicórnio forever liss     finalização com silicone  200ml
Coloração Permanente,Imédia,Chocolate,Adulto,Pote,,,,Coloração Permanente,Coloração Permanente,,Permanente,Chocolate,6.34,,,,,,,,,TINTURA IMÉDIA CHOCOLATE 6.34,CUIDADO CAPILAR,,,,,,,,,,,,,,,,,,,coloração permanente imédia chocolate     coloração permanente chocolate
Creme de Pentear,Pantene,Molecular Bond Repair,,Pote,240g,,Danificado,Reparação de Ligações Capilares,Tecnologia Molecular Bond,,,,,,Creme,Média,Reparação e Proteção,Sim,,,,CREME DE PENTEAR PANTENE MOLECULAR BOND REPAIR 240G,CUIDADO CAPILAR,,,,,,,,,,,,,,,,,,,creme de pentear pantene molecular bond repair     reparação de ligações capilares  240g
Máscara,Eudora,Siage Nutri Ouro,Adulto,Pote,250g,,Danificado,Hidratação,"Queratina, Ouro",,,,,,,,,,,,,MÁSCARA EUDORA SIAGE NUTRI OURO 250G,CUIDADO CAPILAR,,,,,,,,,,,,,,,,,,,máscara eudora siage nutri ouro     hidratação  250g
Condicionador,Capicilin,SOS,,Pote,280g,,Danificado,Hidratação,,,,,,,Creme,,,,,,,COND MASCARA CAPICILIN SOS 280 G,CUIDADO CAPILAR,,,,,,,,,,,,,,,,,,,condicionador capicilin sos     hidratação  280g
Ativador de Cachos,Inoar,Meu Cacho Meu Crush,Adulto,Frasco,200ml,Cacheado,Cacheado,Antifriso,,,,,,,Líquido,,,Não,,,,ATIVADOR DE CACHOS INOAR MEU CACHO MEU CRUSH 200ML,CUIDADO CAPILAR,,,,,,,,,,,,,,,,,,,ativador de cachos inoar meu cacho meu crush    cacheado antifriso  200ml
Tinta,Luminous,Tint Luminous,,Frasco,,,,,,,Permanente,Castanho Claro,5.0,,,,,,,,,TINT LUMINOUS 5.0 CASTANHO CLARO,CUIDADO CAPILAR,,,,,,,,,,,,,,,,,,,tinta luminous tint luminous      castanho claro
Máscara,Revie,Revitalizador de Brilho,,Frasco,170ml,,,Brilho,,,,,,,,,,,,,,Máscara Revitalizador de Brilho Revie 170ml,CUIDADO CAPILAR,,,,,,,,,,,,,,,,,,,máscara revie revitalizador de brilho     brilho  170ml
Shampoo,Love Beauty Planet,HOP,Adulto,Frasco,300ml,Todos os tipos,Todos os tipos,Limpeza Suave,,,,,,,,,,,,,,SH CO LOVE BEAUTY PLANET HOP REP 300ML,CUIDADO CAPILAR,,,,,,,,,,,,,,,,,,,shampoo love beauty planet hop    todos os tipos limpeza suave  300ml
Removedor de Esmalte,Amoravel Beauty Express,,,,75ml,,,,,,,,,,,,,,,,,REMOVEDOR DE ESMALTE AMORAVEL BEAUTY EXPRESS 75ML,MANICURE E PEDICURE,,,,,75ml,,,,,Com Acetona,,,,,,,,,removedor de esmalte amoravel beauty express        75ml
Cola para Unha,KISSNY,,,,,,,,,,,,,,,,,,,,,COLA PARA UNHA KISSNY SECAGEM RAPIDA,MANICURE E PEDICURE,,,,,,,,,Secagem Rápida,,Colar Unhas,,Não,,,,,,cola para unha kissny
Removedor de Esmalte,Risqué,,,,100ml,,,,,,,,,,,,,,,,,REMOVEDOR CARE ESMALTE RISQUÉ 100ML,MANICURE E PEDICURE,,,,,100ml,,,,,Com Acetona,,,,,,,,,removedor de esmalte risqué        100ml
Esfoliantes,TENYS PÉ BARUEL,WOMAN,Adulto,,100g,,,,,,,,,,,,,,,,,ESFOLIANTE TENYS PÉ BARUEL WOMAN 100G,MANICURE E PEDICURE,,,,,100g,,,,Esfoliantes,Creme,,,,,,,,,esfoliantes tenys pé baruel woman       100g
Caneta Decorativa,Risqué,Preto Noite,,,2ml,,,,,,,,,,,,,,,,,CANETA DECORATIVA UNHA RISQUÉ PRETO NOITE 2ML,MANICURE E PEDICURE,,,,,2ml,Preto,Noite,,,Regular,Decoração de Unhas,,Não,,,,,,caneta decorativa risqué preto noite noite preto     2ml
Removedor de Esmalte,Be Better,,Profissional,,8ml,,,,,,,,,,,,,,,,,REMOVEDOR ESMALTE PROFISSIONAL BE BETTER COM 8ML,MANICURE E PEDICURE,,,,,8ml,,,,,Com Acetona,,,,,,,,,removedor de esmalte be better        8ml
Removedor de Esmalte,FARMAX,VIT E,Adulto,,10ml,,,,,,,,,,,,,,,,,REMOV ESM FARMAX VIT E 10,MANICURE E PEDICURE,,,,,10ml,,,,Removedor,Sem Acetona,,,,,,,,,removedor de esmalte farmax vit e       10ml
Hidratante,Granado,Reparador de Calcanhar Danificados,Adulto,,20g,,,,,,,,,,,,,,,,,HIDRATANTE GRANADO REPARADOR DE CALCANHAR DANIFICADOS PINK 20G,MANICURE E PEDICURE,,,,,20g,Rosa,Pink,,Reparador,Creme,,,,,,,,,hidratante granado reparador de calcanhar danificados pink rosa     20g
Unha Postiça,Belliz,,Adulto,,,,,,,,,,,,,,,,,,,UNHA POST BELLIZ RED WINE,MANICURE E PEDICURE,,,,,,Vinho,Red Wine,,,,,,,,Regular,,,,unha postiça belliz  red wine vinho
Removedor de Esmalte,Oceane Femme,,,,,,,,,,,,,,,,,,,,,LENÇOS REMOVEDOR DE ESMALTE OCEANE FEMME SEM PERFUME COM 25 UNIDADES,MANICURE E PEDICURE,,,,,25 unidades,,,,Removedor de Esmalte,Sem Acetona,,,,,,,,,removedor de esmalte oceane femme
Alicate,Merheje,Elite Mix,Profissional,,,,,,,,,,,,,,,,,Aço Inox,,KIT MERHEJE ELITE MIX PROFISSIONAL,MANICURE E PEDICURE,,,,,Kit 1 un,Prata,,,,Aço Inox,Cortar Unha,Reta,Sim,,,,,,alicate merheje elite mix  prata      aço inox
Lixa,Marco Bóni,,Adulto,,,,,,,,,,,,,,,,,Vidro,,LIXA MARCO BONI T6106,MANICURE E PEDICURE,,,,,1 un,,,,,,Lixar,Ponta Fina,Não,Polidora,,,,,lixa marco bóni         vidro
Esmalte,Colorama,Copa das Cores,,,8ml,,,,,,,,,,,,,,,,,ESMALTE COLORAMA COPA DAS CORES COBERTURA BRONZE 8ML,MANICURE E PEDICURE,,,,,1 un,Bronze,Cobertura Bronze,Cremoso,,,,,,,,,,,esmalte colorama copa das cores cobertura bronze bronze cremoso    8ml
Hidratante,Fortilon,,,,120g,,,,,,,,,,,,,,,,,HIDRATANTE FORTILON PÉS RESSECADOS 120G,MANICURE E PEDICURE,,,,,120g,,,,Pés Ressecados,Creme,,,,,,,,,hidratante fortilon        120g
Esfoliate,GRANADO,PEDRA POMES,,,90g,,,,,,,,,,,,,,,,,ESFOLIANTE GRANADO PEDRA POMES PINK COM 90G ,MANICURE E PEDICURE,,,,,90g,PINK,PINK,Cremoso,Exfoliante,,,,,,,,,,esfoliate granado pedra pomes pink pink cremoso    90g
Removedor de Esmalte,DAUF,,,,100ml,,,,,,,,,,,,,,,,,REMOVEDOR ESMALTE DAUF SEM ACETONA 100ML,MANICURE E PEDICURE,,,,,100ml,,,,,Sem Acetona,,,,,,,,,removedor de esmalte dauf        100ml
Espatula,Be Better,,,,,,,,,,,,,,,,,,,,,ESPATULA BE BETTER 1UND,MANICURE E PEDICURE,,,,,1 un,,,,,,,,,,,,,,espatula be better
Kit Manicure,Amorável,,Adulto,,,,,,,,,,,,,,,,,,,KIT MANICURE AMORAVEL ELETRICO 5EM1,MANICURE E PEDICURE,,,,,5 em 1,,,,Esfoliante,Eletrônico,Esfoliar,,Não,,,,,,kit manicure amorável
Protetor de Bacia,Vertix,Pedicure 5,Profissional,,,,,,,,,,,,,,,,,,,PROT DE BACIA VERTIX PEDICURE 5,MANICURE E PEDICURE,,,,,1 un,,,,,,Proteção de bacia durante procedimentos de pedicure,,,,,,,,protetor de bacia vertix pedicure 5
Unha Postiça,KISSNY,Impress Curta Matchmaker,,,,,,,,,,,,,,,,,,,,UNHAS AUTOCOLANTES  KISSNY IMPRESS CURTA MATCHMAKER COM 24 UNHAS,MANICURE E PEDICURE,,,,,24 un,,,,Autocolante,,Aplicação de Unhas Postiças,,,,,Autocolante,,,unha postiça kissny impress curta matchmaker
Esmalte,Colorama,Nutri Varniz,Adulto,,8ml,,,,,,,,,,,,,,,,,ESMALTE COLORAMA NUTRI VERNIZ BRANCO ZEN COM 8 ML,MANICURE E PEDICURE,,,,,8ml,Branco,Zen,Cremoso,Nutri,,,,,,,,,,esmalte colorama nutri varniz zen branco cremoso    8ml
Caneta Decorativa,Risqué,Ouro Glamour,Adulto,,2ml,,,,,,,,,,,,,,,Plástico,,CANETA DECORATIVA UNHA RISQUÉ OURO GLAMOUR 2ML,MANICURE E PEDICURE,,,,,1 un,Dourado,Ouro Glamour,Cintilante,Decorativo,,Aplicação de decoração em unhas,Pincel,Não,,,,,,caneta decorativa risqué ouro glamour ouro glamour dourado cintilante    2ml plástico
Lixa,Amorável,Fun,,,,,,,,,,,,,,,,,,,,LIXA AMORÁVEL FUN COM 2 UNIDADES,MANICURE E PEDICURE,,,,,2 un,,,,Lixar,,Lixar,Fina,Não,Fina,,,,,lixa amorável fun
Fortalecedor de Unhas,,Gel,Adulto,,5ml,,,,,,,,,,,,,,,,,ONICUT GEL 5ML,MANICURE E PEDICURE,,,,,5ml,,,Gel,Fortalecedor,Com Óleo,,,,,,,,,fortalecedor de unhas  gel   gel    5ml
Kit Hidratante,Granado,Pink Relaxante para os Pés,Adulto,,,,,,,,,,,,,,,,,,,KIT SPA GRANADO PINK RELAXANTE PARA OS PÉS COM 01 SACHÊ ESCALDA PÉS + 01 MANTEIGA EMOLIENTE + 01ESFOLIANTE DE PEDRA POMES + + 01 GEL PARA PÉS E PERNAS,MANICURE E PEDICURE,,,,,"4 itens: 1 sachê, 1 manteiga, 1 esfoliante, 1 gel",Rosa,,,"['Hidratante', 'Emoliente', 'Esfoliante', 'Relaxante']",,,,,,,,,,kit hidratante granado pink relaxante para os pés  rosa
Cortador,Mundial,Baby Care,Infantil,,,,,,,,,,,,,,,,,Aço Inox,,CORTADOR DE UNHA MUNDIAL BABY CARE ,MANICURE E PEDICURE,,,,,1 un,,,,,,Cortar Unha,Ponta Reta,Sim,,,,,,cortador mundial baby care        aço inox
Esmalte,Risqué,Colecionistas,,,8ml,,,,,,,,,,,,,,,,,ESMALTE RISQUE COLECIONISTAS CREMOSO MEUS SOUVENIRS 8ML,MANICURE E PEDICURE,,,,,1 un,,Meus Souvenirs,Cremoso,,,,,,,,,,,esmalte risqué colecionistas meus souvenirs  cremoso    8ml
Removedor de Esmalte,Van Ess,,Adulto,,100ml,,,,,,,,,,,,,,,,,ACETONA VAN ESS 100ML,MANICURE E PEDICURE,,,,,1 un,,,,Removedor de Esmalte,Com Acetona,,,,,,,,,removedor de esmalte van ess        100ml
Alicate,Merheje,,,,,,,,,,,,,,,,,,,,,ALICATE MERHEJE 997,MANICURE E PEDICURE,,,,,1 un,,,,,,REGULAR,,,,,,,,alicate merheje
Removedor de Cutícula,Velox Sante,,,,35ml,,,,,,,,,,,,,,,,,REMOV DE CUTICULA VELOX SANTE 35ML,MANICURE E PEDICURE,,,,,35ml,,,,Creme,,,,,,,,,,removedor de cutícula velox sante        35ml
Unha Postiça,Youcare,Natural,Adulto,,,,,,,,,,,,,,,,,Plástico,,UNHAS YOUCARE NATURAL QUADRADO CURTO COM 36 UNIDADES,MANICURE E PEDICURE,,,,,36 unidades,Natural,Natural,Natural,,,Unha Postiça,,,,Quadrado Curto,Com Cola,,,unha postiça youcare natural natural natural natural     plástico
Creme para Cutículas,Granado,Pink,Adulto,,100g,,,,,,,,,,,,,,,,,CREME PARA CUTÍCULAS GRANADO PINK 100G,MANICURE E PEDICURE,,,,,1 un,Rosa,,,Hidratante,,,,,,,,,,creme para cutículas granado pink  rosa     100g
Esmalte,Risqué,Mulher Maravilha Bela Poderosa,Adulto,,8ml,,,,,,,,,,,,,,,,,ESMALTE RISQUE MULHER MARAVILHA BELA PODEROSA CREMOSO 8ML,MANICURE E PEDICURE,,,,,1 un,,Bela Poderosa,Cremoso,,,,,,,,,,,esmalte risqué mulher maravilha bela poderosa bela poderosa  cremoso    8ml
Esmalte,Colorama,Solte Suas Cores,Adulto,,8ml,,,,,,,,,,,,,,,,,ESMALTE CREMOSO COLORAMA SOLTE SUAS CORES SELFIE NO PELOURINHO 8ML,MANICURE E PEDICURE,,,,,1 un,Incolor,Selfie no Peourinho,Cremoso,,,,,,,,,,,esmalte colorama solte suas cores selfie no peourinho incolor cremoso    8ml
Meia Esfoliante,Footner,,,,,,,,,,,,,,,,,,,,,FOOTNER MEIAS ESFOLIANTES COM 01 PAR,MANICURE E PEDICURE,,,,,01 par,,,,Esfoliante,Creme,,,,,,,,,meia esfoliante footner
Esfoliante,Amorável,Hidratante,Adulto,,80g,,,,,,,,,,,,,,,,,ESFOLIANTE PARA OS PES AMORAVEL HIDRATANTE CREME 80G,MANICURE E PEDICURE,,,,,80g,,,,Hidratante,Creme,,,,,,,,,esfoliante amorável hidratante       80g
Creme para Cutículas,Granado,,Adulto,,"3,5g",,,,,,,,,,,,,,,,,"CREME PARA CUTÍCULAS GRANADO PINK 3,5G",MANICURE E PEDICURE,,,,,"3,5g",Rosa,Pink,,Hidratante,,,,,,,,,,"creme para cutículas granado  pink rosa     3,5g"
Esmalte,Vult,,,,8ml,,,,,,,,,,,,,,,,,ESMALTE VULT VINHEDO 8ML SEM BLISTER,MANICURE E PEDICURE,,,,,8ml,Vinhedo,Vinhedo,,,,,,,,,,,,esmalte vult  vinhedo vinhedo     8ml
Hidratante,GNANO,,Adulto,,60g,,,,,,,,,,,,,,,,,GNANO HIDRATANTE PARA PÉS E ÁREAS RESSECADAS 60G,MANICURE E PEDICURE,,,,,60g,,,,Hidratante,Creme,,,,,,,,,hidratante gnano        60g
